Price/Rent (Euros),Bathroom,Type (Rental/Housing),Rooms,Bedrooms,Area (m²),Arrondissement,ZipCode
695000,2,Housing,2,2,48.2,16,75016
1790000,3,Housing,5,3,134.13,8,75008
1690000,3,Housing,5,3,140.2,16,75016
420000,2,Housing,1,2,33.16,9,75009
1770000,3,Housing,5,3,149.0,16,75016
945000,2,Housing,4,2,70.0,16,75016
115000,0,Housing,1,0,11.17,17,75017
660000,2,Housing,3,2,53.0,15,75015
1690000,4,Housing,6,4,108.09,17,75017
1260000,2,Housing,3,2,74.1,7,75007
1500000,3,Housing,4,3,88.23,6,75006
335000,0,Housing,1,0,26.1,5,75005
2155000,3,Housing,5,3,101.07,5,75005
1480000,3,Housing,3,3,99.35,5,75005
1385000,0,Housing,4,0,93.4,16,75016
950000,2,Housing,3,2,81.0,16,75016
1230000,2,Housing,3,2,92.13,14,75014
925000,2,Housing,3,2,66.07,9,75009
1250000,2,Housing,6,2,116.0,16,75016
1510000,3,Housing,4,3,101.0,15,75015
