property_url,title,price,description,rooms_info,amenities_info,legal_info,energy_class,climate_class,subtype,rooms,bedrooms,area,floor,reference,district
https://danielfeau.com/en/archive/property/83315875,"Apartment rented on 2023-09-15, at a price of €950 (€38 /m²), Paris 16th (75016), 2 rooms, 25 m², ref 83315875","€1,000 / Month (Fees included)",,"1  Bedroom, 1  Lavatory, 1  Shower room, 1  Kitchen Amenagee",,Provision on recoverable fees 50 € / Month | Tenant's commission 309 € | Deposit 950 €,,,Apartment,2 rooms,1 bedroom,25 m²,5th,Reference 83315875,Paris 16th (75016)
https://danielfeau.com/en/archive/property/5191608,"Apartment rented on 2021-03-29, at a price of €950 (€38 /m²), Paris 16th (75016), 2 rooms, 25 m², ref 5191608","€1,000 / Month (Fees included)",,"1  Bedroom, 1  Lavatory, 1  Shower room, 1  Kitchen",,Provision on recoverable fees 50 € / Month | Tenant's commission 300 € | Deposit 950 €,,,Apartment,2 rooms,1 bedroom,25 m²,5th,Reference 5191608,Paris 16th (75016)
https://danielfeau.com/en/archive/property/5982572,"Apartment rented on 2021-08-31, at a price of €940 (€39 /m²), Paris 7th (75007), 1 room, 24.21 m², ref 5982572","€1,000 / Month (Fees included)",,"1  Living-room, 1  Bedroom, 1  Kitchen ouverte aménagée et équipée, 1  Shower room / Lavatory","Double glazing, Lift, Optical fiber, Digicode, Caretaker, Intercom, Oven, Washing machine, Dishwasher, Hob, Refrigerator, Tableware","Provision on recoverable fees 60 € / Month | Tenant's commission 375 € | Deposit 1,880 € | Inventory tenant charge 75 € | Boutin act 24 sq m | Information on the risks to which this property is exposed is available on the Georisques website: www.georisques.gouv.fr",C,B,Apartment,1 room,1 bedroom,24.21 m²,7th floor / 8,Reference 5982572,Paris 7th (75007)
https://danielfeau.com/en/archive/property/6092765,"Apartment rented on 2021-09-29, at a price of €950 (€38 /m²), Paris 16th (75016), 2 rooms, 25 m², ref 6092765","€1,000 / Month (Fees included)",,"1  Bedroom, 1  Lavatory, 1  Shower room, 1  Kitchen",,Provision on recoverable fees 50 € / Month | Tenant's commission 300 € | Deposit 950 €,,,Apartment,2 rooms,1 bedroom,25 m²,5th,Reference 6092765,Paris 16th (75016)
https://danielfeau.com/en/archive/property/3916025,"Apartment rented on 2020-05-15, at a price of €950 (€38 /m²), Paris 16th (75016), 2 rooms, 25 m², ref 3916025","€1,000 / Month (Fees included)",,"1  Bedroom, 1  Lavatory, 1  Shower room, 1  Kitchen",,Provision on recoverable fees 50 € / Month | Tenant's commission 300 € | Deposit 950 €,,,Apartment,2 rooms,1 bedroom,25 m²,5th,Reference 3916025,Paris 16th (75016)
https://danielfeau.com/en/archive/property/4357240,"Apartment rented on 2020-09-30, at a price of €950 (€38 /m²), Paris 16th (75016), 2 rooms, 25 m², ref 4357240","€1,000 / Month (Fees included)",,"1  Bedroom, 1  Lavatory, 1  Shower room, 1  Kitchen",,Provision on recoverable fees 50 € / Month | Tenant's commission 300 € | Deposit 950 €,,,Apartment,2 rooms,1 bedroom,25 m²,5th,Reference 4357240,Paris 16th (75016)
https://danielfeau.com/en/archive/property/3252456,"Apartment rented on 2019-09-27, at a price of €950 (€38 /m²), Paris 16th (75016), 2 rooms, 25 m², ref 3252456","€1,000 / Month (Fees included)",,"1  Bedroom, 1  Lavatory, 1  Shower room, 1  Kitchen",,Provision on recoverable fees 50 € / Month | Tenant's commission 300 € | Deposit 950 €,,,Apartment,2 rooms,1 bedroom,25 m²,5th,Reference 3252456,Paris 16th (75016)
https://danielfeau.com/en/archive/property/5182950,"Studio rented on 2021-07-20, at a price of €950 (€51 /m²), Paris 14th (75014), 1 room, 18.5 m², ref 5182950","€1,000 / Month (Fees included)","Paris 14th District – A renovated studio apartment with a terrace. Mouton-Duvernet/Alésia neighbourhood, a ten-minute walk from Parc Montsouris. This bright and peaceful 19 sqm studio apartment opening onto a 17 sqm terrace is on the garden level of a fine turn-of-the-century building. Beautifully appointed, it comprises a spacious main room, an equipped open-plan kitchen, and a shower room with a toilet. For a rental under the conditions of the code Civil, fees of 12% of the tax inclusive charges exclusive annual rental shall be applicable.","1  Living room/dining area 12.62 sq m, 1  Kitchen 3.48 sq m, 1  Shower room / Lavatory 2.40 sq m, 1  Terrace 17.16 sq m","Double glazing, Furnished, Digicode, Caretaker, Microwave oven, Dishwasher, Hob, Refrigerator, Washing machine","Provision on recoverable fees 50 € / Month | Tenant's commission 289 € | Deposit 1,900 € | Inventory tenant charge 57.84 € | Logement à consommation énergétique excessive : classe F",F,D,Apartment,1 room,,18.5 m²,Garden level / 6 floors,Reference 5182950,Paris 14th (75014)
https://danielfeau.com/en/archive/property/4313021,"Studio rented on 2020-10-19, at a price of €970 (€42 /m²), Paris 4th (75004), 1 room, 23.3 m², ref 4313021","€1,000 / Month (Fees included)","Paris 4th District – A charming studio apartment. Arsenal - Quai des Célestins. This delightful 23.30 sqm studio apartment rented unfurnished is on the first floor of a mid 18th century building. Featuring exposed beams, it comprises a main room with a semi-equipped kitchenette, and a bathroom. Individual heating and hot water. Available immediately. For a rental under the conditions of the Code Civil, fees of 12% of the tax inclusive charges exclusive annual rental shall be applicable.","1  Entrance 0.81 sq m, 1  Living-room 18.74 sq m, 1  Kitchen 1.46 sq m, 1  Bathroom 1.56 sq m, 1  Lavatory 0.73 sq m","Double glazing, Digicode",Provision on recoverable fees 30 € / Month | Tenant's commission 350 € | Deposit 970 € | Inventory tenant charge 69.9 € | Boutin act 23.3 sq m | Logement à consommation énergétique excessive : classe F,F,D,Apartment,1 room,,23.3 m²,1st,Reference 4313021,Paris 4th (75004)
https://danielfeau.com/en/archive/property/6768822,"Studio rented on 2022-05-23, at a price of €974 (€42 /m²), Paris 4th (75004), 1 room, 23.3 m², ref 6768822","€1,004 / Month (Fees included)","Paris 4th District – A charming studio apartment. Quai des Célestins, Arsenal neighbourhood. This delightful 23.30 sqm studio apartment rented unfurnished is on the first floor of a mid 18th century building. Featuring exposed beams and terracotta floor tiles, it comprises a main room with a semi-equipped kitchenette, and a bathroom. Individual heating and hot water. Available immediately. For a rental under the conditions of the Code Civil, fees of 12% of the tax inclusive charges exclusive annual rental shall be applicable.","1  Entrance 0.81 sq m, 1  Living-room 18.74 sq m, 1  Kitchen 1.46 sq m, 1  Bathroom 1.56 sq m, 1  Lavatory 0.73 sq m",Digicode,"Provision on recoverable fees 30 € / Month | Tenant's commission 350 € | Deposit 973 € | Inventory tenant charge 69.9 € | Boutin act 23.3 sq m | Zone subject to rent control | Base rent 973.94 € | Maximum reference rent (base rent not to be exceeded) 1,516 € | Additional rent 143.6 €",A,A,Apartment,1 room,,23.3 m²,1st,Reference 6768822,Paris 4th (75004)
